
Blender killed
9M (0.00M, Peak 1073.94M) | Time:00:01.83 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car0
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000155.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000156.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000158.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000159.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000157.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000160.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000161.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000162.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000163.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000164.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000165.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000167.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000166.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000168.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000169.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000171.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000172.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000170.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000173.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000174.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000175.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000176.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000177.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.16 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000178.png
Fra:44 Mem:1033.86M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000180.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000179.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000181.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000182.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000184.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000185.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000183.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000186.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading 0000000187.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Images | Loading test.png
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Camera Volume
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.51M, Peak:273.51M | Scene, RenderLayer | Updating Lookup Tables
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.76M, Peak:273.76M | Scene, RenderLayer | Updating Lights
Fra:44 Mem:1033.87M (0.00M, Peak 1154.20M) | Time:00:07.17 | Mem:273.76M, Peak:273.76M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:44 Mem:1037.62M (0.00M, Peak 1154.20M) | Time:00:07.18 | Mem:277.51M, Peak:277.51M | Scene, RenderLayer | Updating Integrator
Fra:44 Mem:1038.89M (0.00M, Peak 1154.20M) | Time:00:07.18 | Mem:278.79M, Peak:278.79M | Scene, RenderLayer | Updating Film
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:07.19 | Mem:278.54M, Peak:278.79M | Scene, RenderLayer | Updating Lookup Tables
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:07.19 | Mem:278.79M, Peak:278.79M | Scene, RenderLayer | Updating Baking
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:07.19 | Mem:278.79M, Peak:278.79M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:07.19 | Mem:278.79M, Peak:278.79M | Scene, RenderLayer | Updating Device | Writing constant memory | Compiling render kernels
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:07.19 | Mem:278.79M, Peak:278.79M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:07.19 | Mem:278.79M, Peak:278.79M | Scene, RenderLayer | Rendered 0/10 Tiles
Fra:44 Mem:1040.92M (0.00M, Peak 1154.20M) | Time:00:09.86 | Remaining:00:07.12 | Mem:280.83M, Peak:282.83M | Scene, RenderLayer | Rendered 1/10 Tiles
Fra:44 Mem:1040.92M (0.00M, Peak 1154.20M) | Time:00:10.03 | Remaining:00:06.95 | Mem:280.83M, Peak:282.83M | Scene, RenderLayer | Rendered 2/10 Tiles

Sent an internal break event. Press ^C again to kill Blender

Sent an internal break event. Press ^C again to kill Blender
Fra:44 Mem:1040.92M (0.00M, Peak 1154.20M) | Time:00:10.66 | Remaining:00:05.78 | Mem:280.83M, Peak:282.83M | Scene, RenderLayer | Rendered 3/10 Tiles
Fra:44 Mem:1038.91M (0.00M, Peak 1154.20M) | Time:00:10.66 | Remaining:00:05.77 | Mem:278.83M, Peak:282.83M | Scene, RenderLayer | Rendered 4/10 Tiles
Fra:44 Mem:1038.90M (0.00M, Peak 1154.20M) | Time:00:10.66 | Remaining:00:05.77 | Mem:278.83M, Peak:282.83M | Scene, RenderLayer | Cancel | Cancelled
Fra:44 Mem:605.04M (0.00M, Peak 1154.20M) | Time:00:10.67 | Sce: Scene Ve:0 Fa:0 La:0
154.20M) | Time:00:14.80 | Mem:278.75M, Peak:282.75M | Scene, RenderLayer | Rendered 10/10 Tiles
Fra:44 Mem:1038.83M (0.00M, Peak 1154.20M) | Time:00:14.80 | Mem:278.75M, Peak:282.75M | Scene, RenderLayer | Finished
Fra:44 Mem:605.04M (0.00M, Peak 1154.20M) | Time:00:14.80 | Sce: Scene Ve:0 Fa:0 La:0
0:14.21 | Remaining:00:00.62 | Mem:279.72M, Peak:282.79M | Scene, RenderLayer | Rendered 8/10 Tiles
Fra:44 Mem:1039.67M (0.00M, Peak 1154.20M) | Time:00:14.54 | Remaining:00:00.21 | Mem:279.58M, Peak:282.79M | Scene, RenderLayer | Rendered 9/10 Tiles, Sample 62/128
Fra:44 Mem:1038.87M (0.00M, Peak 1154.20M) | Time:00:14.77 | Mem:278.79M, Peak:282.79M | Scene, RenderLayer | Rendered 10/10 Tiles
Fra:44 Mem:1038.86M (0.00M, Peak 1154.20M) | Time:00:14.77 | Mem:278.79M, Peak:282.79M | Scene, RenderLayer | Finished
Fra:44 Mem:605.04M (0.00M, Peak 1154.20M) | Time:00:14.77 | Sce: Scene Ve:0 Fa:0 La:0

:0 La:0
me:00:14.50 | Mem:277.05M, Peak:281.06M | Scene, RenderLayer | Finished
Fra:44 Mem:605.04M (0.00M, Peak 1154.20M) | Time:00:14.50 | Sce: Scene Ve:0 Fa:0 La:0
0
| Time:00:21.26 | Sce: Scene Ve:0 Fa:0 La:0
Ve:0 Fa:0 La:0
.00M, Peak 4168.07M) | Time:00:32.20 | Remaining:00:00.51 | Mem:280.90M, Peak:282.91M | Scene, RenderLayer | Rendered 9/10 Tiles, Sample 110/128
Fra:44 Mem:4054.85M (0.00M, Peak 4168.07M) | Time:00:33.23 | Remaining:00:00.35 | Mem:280.90M, Peak:282.91M | Scene, RenderLayer | Rendered 9/10 Tiles, Sample 116/128
Fra:44 Mem:4054.85M (0.00M, Peak 4168.07M) | Time:00:34.24 | Remaining:00:00.18 | Mem:280.90M, Peak:282.91M | Scene, RenderLayer | Rendered 9/10 Tiles, Sample 122/128
Fra:44 Mem:4054.85M (0.00M, Peak 4168.07M) | Time:00:35.24 | Mem:280.90M, Peak:282.91M | Scene, RenderLayer | Rendered 9/10 Tiles, Sample 128/128
Fra:44 Mem:4052.85M (0.00M, Peak 4168.07M) | Time:00:35.24 | Mem:278.90M, Peak:282.91M | Scene, RenderLayer | Rendered 10/10 Tiles
Fra:44 Mem:4052.85M (0.00M, Peak 4168.07M) | Time:00:35.24 | Mem:278.90M, Peak:282.91M | Scene, RenderLayer | Finished
Fra:44 Mem:3618.91M (0.00M, Peak 4168.07M) | Time:00:35.25 | Sce: Scene Ve:0 Fa:0 La:0
maining:00:00.09 | Mem:370.45M, Peak:372.45M | Scene, RenderLayer | Rendered 9/10 Tiles, Sample 125/128
Fra:44 Mem:4016.94M (0.00M, Peak 4137.18M) | Time:00:39.78 | Mem:368.45M, Peak:372.45M | Scene, RenderLayer | Rendered 10/10 Tiles
Fra:44 Mem:4016.94M (0.00M, Peak 4137.18M) | Time:00:39.78 | Mem:368.45M, Peak:372.45M | Scene, RenderLayer | Finished
Fra:44 Mem:3443.52M (0.00M, Peak 4137.18M) | Time:00:39.79 | Sce: Scene Ve:0 Fa:0 La:0
